customer,latitude,longitude,distance_from_previous,cumulative_distance,eta_from_start,time_to_current,cost_to_current,co2_to_current
Depot,59.913900,10.752200,0,0.0,2025-11-08T16:25,0.00,0.00,0.00
Sentrum Pharmacy,59.912300,10.752900,0.18214068995055344,0.18214068995055344,2025-11-08T16:25,0.00,0.73,21.86
Grønland Electronics,59.908200,10.751000,0.4680421739163188,0.6501828638668723,2025-11-08T16:25,0.01,1.87,56.17
Sørenga Flowers,59.907600,10.751800,0.08025252726402717,0.7304353911308995,2025-11-08T16:25,0.00,0.32,9.63
Vika Logistics,59.912700,10.739500,0.889824501256521,1.6202598923874205,2025-11-08T16:27,0.02,3.56,106.78
Nordea Branch,59.915000,10.738900,0.2579259547373258,1.8781858471247463,2025-11-08T16:27,0.01,1.03,30.95
Oslo Café,59.918800,10.732000,0.5713553139587081,2.4495411610834545,2025-11-08T16:28,0.01,2.29,68.56
Kari Nordmann,59.922000,10.737100,0.45540830856891146,2.904949469652366,2025-11-08T16:28,0.01,1.82,54.65
Lise Jensen,59.926100,10.720400,1.0362800745541498,3.941229544206516,2025-11-08T16:29,0.02,4.15,124.35
Hanna Berg,59.929900,10.696500,1.3970994705656417,5.338329014772158,2025-11-08T16:31,0.03,5.59,167.65
Opera House Supplies,59.907500,10.665000,3.047314739390836,8.385643754162993,2025-11-08T16:35,0.06,12.19,365.68
TechHub Oslo,59.918100,10.786700,6.885668624439701,15.271312378602694,2025-11-08T16:43,0.14,27.54,826.28
Sven Pettersen,59.911300,10.776500,0.9460346109460392,16.217346989548734,2025-11-08T16:44,0.02,3.78,113.52
Mathias Eriksen,59.920600,10.770300,1.090327781703763,17.307674771252497,2025-11-08T16:45,0.02,4.36,130.84
Nordic Books AS,59.915500,10.758000,0.8896987649137212,18.197373536166218,2025-11-08T16:46,0.02,3.56,106.76
Kveld Mat AS,59.905700,10.741200,1.4368765130395436,19.63425004920576,2025-11-08T16:48,0.03,5.75,172.43
Bjørn Aasen,59.900900,10.746800,0.618366583636065,20.252616632841825,2025-11-08T16:49,0.01,2.47,74.20
Ekeberg Studio,59.895400,10.768400,1.3509565145753304,21.603573147417155,2025-11-08T16:51,0.03,5.40,162.11
Fjord Furniture,59.914700,10.824200,3.779601669179911,25.383174816597066,2025-11-08T16:55,0.08,15.12,453.55
Marianne Olsen,59.929400,10.760100,3.9284039510910764,29.311578767688143,2025-11-08T17:00,0.08,15.71,471.41
Depot,59.913900,10.752200,1.7788632922612968,31.09044205994944,2025-11-08T17:02,0.04,7.12,213.46
